franquia,cidade,cadastro,referencia,clientes_ativos
FR321,VOTUPORANGA,2020-10-01,2021-08-01,168.0
FR321,VOTUPORANGA,2020-10-01,2021-07-01,264.0
FR321,VOTUPORANGA,2020-10-01,2021-06-01,276.0
FR321,VOTUPORANGA,2020-10-01,2021-05-01,261.0
FR321,VOTUPORANGA,2020-10-01,2021-04-01,456.0
FR321,VOTUPORANGA,2020-10-01,2021-03-01,387.0
FR321,VOTUPORANGA,2020-10-01,2021-02-01,459.0
FR321,VOTUPORANGA,2020-10-01,2021-01-01,504.0
FR320,VOTORANTIM,2012-01-01,2021-08-01,477.0
FR320,VOTORANTIM,2012-01-01,2021-07-01,702.0
FR320,VOTORANTIM,2012-01-01,2021-06-01,738.0
FR320,VOTORANTIM,2012-01-01,2021-05-01,609.0
FR320,VOTORANTIM,2012-01-01,2021-04-01,519.0
FR320,VOTORANTIM,2012-01-01,2021-03-01,741.0
FR320,VOTORANTIM,2012-01-01,2021-02-01,813.0
FR320,VOTORANTIM,2012-01-01,2021-01-01,960.0
FR320,VOTORANTIM,2012-01-01,2019-12-01,
FR320,VOTORANTIM,2012-01-01,2019-11-01,
FR320,VOTORANTIM,2012-01-01,2019-10-01,
FR320,VOTORANTIM,2012-01-01,2019-09-01,
FR320,VOTORANTIM,2012-01-01,2019-08-01,237.0
FR320,VOTORANTIM,2012-01-01,2019-07-01,189.0
FR320,VOTORANTIM,2012-01-01,2019-06-01,192.0
FR320,VOTORANTIM,2012-01-01,2019-05-01,159.0
FR320,VOTORANTIM,2012-01-01,2019-04-01,183.0
FR320,VOTORANTIM,2012-01-01,2019-03-01,150.0
FR320,VOTORANTIM,2012-01-01,2019-02-01,213.0
FR320,VOTORANTIM,2012-01-01,2019-01-01,84.0
FR319,VOLTA REDONDA,2019-02-01,2021-08-01,1422.0
FR319,VOLTA REDONDA,2019-02-01,2021-07-01,1575.0
FR319,VOLTA REDONDA,2019-02-01,2021-06-01,1593.0
FR319,VOLTA REDONDA,2019-02-01,2021-05-01,1338.0
FR319,VOLTA REDONDA,2019-02-01,2021-04-01,1518.0
FR319,VOLTA REDONDA,2019-02-01,2021-03-01,1620.0
FR319,VOLTA REDONDA,2019-02-01,2021-02-01,1437.0
FR319,VOLTA REDONDA,2019-02-01,2021-01-01,1815.0
FR319,VOLTA REDONDA,2019-02-01,2019-12-01,
FR319,VOLTA REDONDA,2019-02-01,2019-11-01,
FR319,VOLTA REDONDA,2019-02-01,2019-10-01,
FR319,VOLTA REDONDA,2019-02-01,2019-09-01,
FR319,VOLTA REDONDA,2019-02-01,2019-08-01,573.0
